### MPI C - Marvin

#Dimenzije	#8	#6	#4	#2

# integer
#256		 0.022	 0.029	 0.042	  0.084	
#512		 0.204	 0.265	 0.378	  0.750
#1024		 4.472	 5.917	 9.741	 17.296
#1536		15.160	20.020	28.535	 54.028
#2048		41.530	51.899	72.990	138.167

# float
256		 0.029	 0.030	 0.045	  0.089
512		 0.216	 0.276	 0.402	  0.794
1024		 4.639	 6.223	10.092	  4.351
1536		14.222	19.719	27.741	 56.763
2048		42.248	52.833	73.83	139.930

# double
#256		 0.026	 0.034	 0.051	  0.099
#512		 0.442	 0.619	 0.803	  1.461
#1024		 4.823	 5.740	11.124	 16.330
#1536		17.903	22.375	31.667	 58.973
#2048		42.685	54.437	76.199	143.284

