#dim	#1		#2		#3

# fx570m - blocksize 1 - float

256	  0.652	  0.651	  1.020
512	  4.934	  4.933	  8.138
1024	 40.634	 45.598	122.875
1536	271.867	271.771	415.517

# fx570m - blocksize 4 - float

256	 0.166	 0.248	 0.061
512	 1.984	 1.984	 0.484
1024	15.867	15.867	 3.903
1536	32.139	51.177	13.202

# fx570m - blocksize 8 - float

256	 0.140	 0.140	0.015
512	 1.123	 1.122	0.121
1024	 9.332	14.968	1.934
1536	53.297	53.565	6.520	

# fx570m - blocksize 16 - float

256	 0.222 	 0.243	0.039
512	 1.989	 1.959	0.312
1024	15.792	15.760	2.503
1536	54.227	54.708	8.462

# fx570m - blocksize 8 - int

256	 0.140	 0.140	0.016	
512	 1.123	 1.123	0.132
1024	 9.326	 9.326	1.056
1536	50.176	53.581	7.122


### ---- Mac Mini

# core 2 duo - blocksize 1 - float

254	 0.040   0.040	0.099
512	 0.548   0.545	0.869
1024	25.980  25.760 31.319
1536    29.237  28.278 39.716
